policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty
H_TIME,heterogeneous_condition,105,90,18900,18900,0,1.0,5433610.0,9123.397136,9123397.136,3298.0,244.8,5404.8,175.797136,0.0,388,1164,388,388,388,21,12,9,0,21,4504,0.703419,0.837202,0.855409,0.911422,1.020715,2.576161,0.72413,4131,4154,4153,2223,2190,2049,8285,6376,4239,10474,8426,0.896296,2,0,0.652962,0.928894,47.843243,0.318429
H_TIME,heterogeneous_condition,106,90,18900,18900,0,1.0,5434520.0,8590.679998,8590679.998,3298.0,9.6,5121.6,161.479998,0.0,388,1164,388,388,388,1,1,0,0,1,4268,0.91003,0.922824,0.947223,0.966939,0.982959,2.36643,0.72813,4154,4153,4164,2194,2194,2041,8307,6358,4235,10512,8388,0.896296,2,0,0.653071,0.477551,47.775462,0.319618
H_TIME,heterogeneous_condition,107,90,18900,18900,0,1.0,5433505.0,9500.761458,9500761.458,3298.0,414.0,5613.6,175.161458,0.0,388,1164,388,388,388,43,42,0,1,43,4678,0.711841,0.799022,0.865756,0.940056,0.96149,2.78374,0.721278,4145,4139,4156,2219,2203,2038,8284,6375,4241,10504,8396,0.896296,2,0,0.653035,1.107143,47.821253,0.318853
H_TIME,heterogeneous_condition,108,90,18900,18899,1,0.999947,5430530.0,10554.226884,10554226.884,3298.0,864.0,6182.4,207.826884,2.0,388,1164,388,388,388,83,63,12,8,83,5152,0.692311,0.854127,0.841257,0.849987,1.128587,3.150683,0.713278,4110,4124,4157,2240,2234,2034,8234,6397,4268,10501,8398,0.896296,2,0,0.653176,1.068472,47.851544,0.318189
H_TIME,heterogeneous_condition,109,90,18900,18900,0,1.0,5434065.0,8581.235284,8581235.284,3298.0,9.6,5121.6,152.035284,0.0,388,1164,388,388,388,1,1,0,0,1,4268,0.927711,0.928546,0.971647,0.967487,0.909119,2.084195,0.72813,4151,4162,4140,2193,2222,2032,8313,6333,4254,10513,8387,0.896296,2,0,0.653116,0.472405,47.791493,0.319165
H_TIME,heterogeneous_condition,110,90,18900,18900,0,1.0,5433995.0,10108.415206,10108415.206,3298.0,667.2,5932.8,210.415206,0.0,388,1164,388,388,388,63,47,12,4,63,4944,0.651398,0.767207,0.798609,0.89454,1.167516,3.047173,0.716759,4130,4169,4149,2210,2208,2034,8299,6359,4242,10487,8413,0.896296,2,0,0.652982,1.301713,47.818752,0.3187
H1,heterogeneous_condition,101,90,18900,18900,0,1.0,4826430.0,3680.946547,3680946.547,1426.0,0.0,2126.4,128.546547,0.0,530,532,252,148,132,0,0,0,0,0,1772,0.500257,0.529428,0.564286,0.559325,0.937723,2.4518,0.777,18,0,3423,2139,5940,7380,18,5562,13320,9381,9519,0.2875,2,0,0.676335,1.517255,41.496931,0.417453
H1,heterogeneous_condition,102,90,18900,18900,0,1.0,4826325.0,3576.347403,3576347.403,1392.0,0.0,2060.4,123.947403,0.0,495,496,221,175,100,0,0,0,0,0,1717,0.469155,0.498333,0.517467,0.576606,0.873249,2.345799,0.77737,15,0,3786,1779,5940,7380,15,5565,13320,9741,9159,0.28287,2,0,0.677868,1.52147,40.982328,0.426219
H1,heterogeneous_condition,103,90,18900,18900,0,1.0,4826570.0,4210.888544,4210888.544,1627.0,0.0,2442.0,141.888544,0.0,580,582,244,196,142,0,0,0,0,0,2035,0.473079,0.515254,0.529149,0.543187,0.992559,2.718937,0.773056,22,0,3686,1872,5940,7380,22,5558,13320,9648,9252,0.336806,2,0,0.677463,1.564412,41.134815,0.42361
H1,heterogeneous_condition,104,90,18900,18900,0,1.0,4826395.0,3868.586039,3868586.039,1480.0,0.0,2257.2,131.386039,0.0,533,534,208,166,160,0,0,0,0,0,1881,0.477231,0.518947,0.565679,0.543569,0.94391,2.700947,0.775,17,0,3396,2167,5940,7380,17,5563,13320,9353,9547,0.3125,2,0,0.676218,1.546165,41.557249,0.416467
