policy_id,regime,seed,day,completed_loads,unmet_loads,route_fallback_loads,route_rejected_loads,route_queue_hours,shovel_queue_hours,crusher_queue_hours,congestion_delay_hours_total,congestion_cost,avg_realized_cycle_time_min,avg_realized_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_loads,shovel_b_loads,shovel_c_loads,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_loads,crusher_2_loads,crusher_1_attempts,crusher_2_attempts
H4,heterogeneous_condition,101,39,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,40,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,41,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,42,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,43,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,44,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,45,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,46,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,47,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,48,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,49,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,50,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,51,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,52,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,53,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,54,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,55,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,56,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,57,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
H4,heterogeneous_condition,101,58,210,0,0,0,0.0,0.0,0.0,0.0,0.0,23.43127,0.390521,8.75,0.174694,0.214286,27,36,27,45,30,45,27,36,27,45,30,45,63,72,75,63,72,75,84,126,84,126
