policy_id,total_cost_improvement_pct,pm_cost_improvement_pct,unmet_demand_improvement_pct,demand_fulfillment_delta,completed_loads_delta,available_trucks_delta,total_downtime_improvement_pct,pm_count_improvement_pct,average_tire_hi_improvement_pct,average_truck_hi_improvement_pct,queue_time_improvement_pct
H1,5.882353,-18.292683,19.047619,0.02,20.0,-0.25,-7.377049,-19.512195,2.515723,1.226994,4.901961
H2,-6.862745,20.731707,-47.619048,-0.05,-50.0,0.15,17.213115,19.512195,-2.515723,-2.453988,12.745098
H3,10.784314,-24.390244,50.0,0.0525,52.5,-0.45,-17.622951,-34.146341,5.345912,3.98773,-4.901961
H4,3.431373,6.097561,7.142857,0.0075,7.5,0.0,9.016393,4.878049,0.943396,-0.306748,8.823529
