policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,stage,soft_utilization_threshold,risk_guard_level
H4,heterogeneous_condition,101,30,6300,6300,0,1.0,1751400.0,1376.555523,1376555.523,532.5,0.0,794.4,49.655523,0.0,192,195,87,59,49,0,0,0,0,0,662,0.755065,0.781719,0.79971,0.783586,0.937723,2.4518,0.773833,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.327083,2,0,0.648189,1.585122,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1376.555523,1466.557323,1466557.323,1.0,2.0,base,0.5,0.0,0.0,1466.557323,0.0,0.0,0.0,0.0,0.0,1466.557323,1466557.323,0.85,0.1,2.0,0.11684,0.05842,1466.615743,1466615.743,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.95,strict
H4,heterogeneous_condition,102,30,6300,6300,0,1.0,1751400.0,1371.589542,1371589.542,543.5,0.0,777.6,50.489542,0.0,196,201,107,63,31,0,0,0,0,0,648,0.738299,0.78607,0.79685,0.773506,0.873249,2.345799,0.774778,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.315278,2,0,0.648189,1.582109,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1371.589542,1461.591342,1461591.342,1.0,2.0,base,0.5,0.0,0.0,1461.591342,0.0,0.0,0.0,0.0,0.0,1461.591342,1461591.342,0.85,0.1,2.0,0.11684,0.05842,1461.649762,1461649.762,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.95,strict
H4,heterogeneous_condition,103,30,6300,6300,0,1.0,1751400.0,1810.421886,1810421.886,708.0,0.0,1040.4,62.021886,0.0,246,252,111,89,52,0,0,0,0,0,867,0.757865,0.792491,0.775763,0.784113,0.992559,2.718937,0.765389,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.432639,2,0,0.648189,1.663974,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1810.421886,1900.423686,1900423.686,1.0,2.0,base,0.5,0.0,0.0,1900.423686,0.0,0.0,0.0,0.0,0.0,1900.423686,1900423.686,0.85,0.1,2.0,0.11684,0.05842,1900.482106,1900482.106,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.95,strict
BALANCED_RR_H4_PM,heterogeneous_condition,101,30,6300,6300,0,1.0,1763125.0,1385.722185,1385722.185,536.5,0.0,799.2,50.022185,0.0,191,196,87,60,49,0,0,0,0,0,666,0.754638,0.775997,0.804526,0.773488,0.937723,2.4518,0.773556,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0.330556,2,0,0.0,0.0,0.0,0.0,base,1764000.0,875.0,6.250125,0.999504,0.799603,1385.722185,1391.97231,1391972.31,1.0,2.0,base,0.5,0.0447,0.02235,1391.99466,0.0447,0.0,0.000556,0.044144,0.02235,1391.99466,1391994.66,0.85,0.1,2.0,1.828946,0.914473,1392.886783,1392886.783,23.421916,23.42149,0.390365,0.390358,8.75,0.166764,0.171429,0.672414,1.093333,1.231579,0,0,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0,0,0,0,0,0,S1,0.95,strict
BALANCED_RR_H4_PM,heterogeneous_condition,102,30,6300,6300,0,1.0,1762775.0,1382.386829,1382386.829,545.5,0.0,786.0,50.886829,0.0,200,202,108,63,31,0,0,0,0,0,655,0.738838,0.786001,0.792423,0.764647,0.873249,2.345799,0.774722,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0.315972,2,0,0.0,0.0,0.0,0.0,base,1764000.0,1225.0,8.750175,0.999306,0.799444,1382.386829,1391.137004,1391137.004,1.0,2.0,base,0.5,0.036448,0.018224,1391.155228,0.036448,0.0,0.000263,0.036185,0.018224,1391.155228,1391155.228,0.85,0.1,2.0,1.636069,0.818034,1391.955038,1391955.038,23.447,23.446653,0.390783,0.390778,8.75,0.166681,0.168889,0.672414,1.069444,1.231579,0,0,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0,0,0,0,0,0,S1,0.95,strict
BALANCED_RR_H4_PM,heterogeneous_condition,103,30,6300,6300,0,1.0,1764280.0,1838.922579,1838922.579,718.0,0.0,1058.4,62.522579,0.0,249,255,112,91,52,0,0,0,0,0,882,0.750287,0.793919,0.791058,0.772818,0.992559,2.718937,0.764778,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0.440278,2,0,0.0,0.0,0.0,0.0,base,1764000.0,0.0,0.0,1.000159,0.800127,1838.922579,1838.922579,1838922.579,1.0,2.0,base,0.5,0.037963,0.018981,1838.94156,0.037963,0.0,0.000401,0.037562,0.018981,1838.94156,1838941.56,0.85,0.1,2.0,1.72834,0.86417,1839.786749,1839786.749,23.481939,23.481577,0.391366,0.39136,8.75,0.166672,0.168254,0.672414,1.069444,1.231579,0,0,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0,0,0,0,0,0,S1,0.95,strict
H4_BALANCED_RR_GUARD,heterogeneous_condition,101,30,6300,6300,0,1.0,1733970.0,1105.293756,1105293.756,428.5,0.0,627.6,49.193756,0.0,160,160,81,46,33,0,0,0,0,0,523,0.55755,0.651313,0.629322,0.648226,0.937723,2.4518,0.779778,599,1011,928,1294,981,1487,1610,2222,2468,2508,3792,0.252778,2,0,0.0,0.0,0.0,0.0,base,1764000.0,30030.0,214.50429,0.982976,0.786381,1105.293756,1319.798046,1319798.046,1.0,2.0,base,0.5,0.001092,0.000546,1319.798591,0.001092,0.0,0.001092,0.0,0.000546,1319.798591,1319798.591,0.85,0.1,2.0,0.421847,0.210923,1320.008969,1320008.969,22.832202,22.832191,0.380537,0.380537,8.75,0.178636,0.236032,0.682927,1.066667,0.936842,0,0,599,1011,928,1294,981,1487,1610,2222,2468,2508,3792,43863,3855,0,15880,0,27983,S1,0.95,strict
H4_BALANCED_RR_GUARD,heterogeneous_condition,102,30,6300,6300,0,1.0,1733305.0,1101.286916,1101286.916,432.5,0.0,619.2,49.586916,0.0,160,161,87,49,25,0,0,0,0,0,516,0.557136,0.616299,0.609312,0.683874,0.873249,2.345799,0.780111,592,1001,920,1317,1001,1469,1593,2237,2470,2513,3787,0.248611,2,0,0.0,0.0,0.0,0.0,base,1764000.0,30695.0,219.254385,0.982599,0.786079,1101.286916,1320.541301,1320541.301,1.0,2.0,base,0.5,0.001222,0.000611,1320.541912,0.001222,0.0,0.001222,0.0,0.000611,1320.541912,1320541.912,0.85,0.1,2.0,0.455591,0.227796,1320.769097,1320769.097,22.803288,22.803276,0.380055,0.380055,8.75,0.178718,0.233175,0.682927,1.066667,0.947368,0,0,592,1001,920,1317,1001,1469,1593,2237,2470,2513,3787,43775,3808,0,15764,0,28011,S1,0.95,strict
H4_BALANCED_RR_GUARD,heterogeneous_condition,103,30,6300,6300,0,1.0,1734040.0,1396.205133,1396205.133,539.0,0.0,799.2,58.005133,0.0,193,195,89,64,42,0,0,0,0,0,666,0.546763,0.60023,0.597804,0.652727,0.992559,2.718937,0.773722,598,1014,919,1301,991,1477,1612,2220,2468,2508,3792,0.328472,2,0,0.0,0.0,0.0,0.0,base,1764000.0,29960.0,214.00428,0.983016,0.786413,1396.205133,1610.209413,1610209.413,1.0,2.0,base,0.5,0.001044,0.000522,1610.209935,0.001044,0.0,0.001044,0.0,0.000522,1610.209935,1610209.935,0.85,0.1,2.0,0.417082,0.208541,1610.417954,1610417.954,22.836396,22.836386,0.380607,0.380606,8.75,0.178548,0.234444,0.682927,1.066667,0.936842,0,0,598,1014,919,1301,991,1477,1612,2220,2468,2508,3792,43480,3818,0,15716,0,27764,S1,0.95,strict
