policy_id,regime,seed,day,completed_loads,unmet_loads,route_fallback_loads,route_rejected_loads,route_queue_hours,shovel_queue_hours,crusher_queue_hours,congestion_delay_hours_total,congestion_cost,avg_realized_cycle_time_min,avg_realized_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_loads,shovel_b_loads,shovel_c_loads,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_loads,crusher_2_loads,crusher_1_attempts,crusher_2_attempts
H0,heterogeneous_condition,103,18,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.998439,0.416641,8.75,0.183401,0.22381,47,47,44,25,25,22,47,47,44,25,25,22,94,69,47,94,69,47,116,94,116,94
H0,heterogeneous_condition,103,19,210,0,0,0,0.0,0.012201,0.007985,0.020186,0.010093,24.938878,0.415648,8.75,0.184263,0.22381,46,47,46,24,25,22,47,47,46,24,25,22,93,70,47,94,70,47,117,93,118,93
H0,heterogeneous_condition,103,20,210,0,0,0,0.0,0.009227,0.007985,0.017212,0.008606,24.840515,0.414009,8.75,0.18322,0.22381,46,45,47,25,24,23,47,45,47,25,24,23,91,72,47,92,72,47,117,93,118,93
H0,heterogeneous_condition,103,21,209,1,0,0,0.0,0.012201,0.0053,0.017501,0.008751,25.047189,0.417453,8.708333,0.184039,0.22488,47,47,44,25,24,22,47,47,45,25,24,22,94,69,46,94,70,46,115,94,116,94
H0,heterogeneous_condition,103,22,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.896262,0.414938,8.75,0.184308,0.22381,45,47,47,24,25,22,45,47,47,24,25,22,92,71,47,92,71,47,117,93,117,93
H0,heterogeneous_condition,103,23,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.885559,0.414759,8.75,0.183311,0.22381,46,45,47,26,23,23,47,45,47,26,23,23,91,73,46,92,73,46,116,94,117,94
H0,heterogeneous_condition,103,24,210,0,0,0,0.0,0.012201,0.007008,0.019209,0.009605,25.009278,0.416821,8.75,0.184444,0.22381,47,47,45,25,25,21,47,47,45,25,25,21,94,70,46,94,70,46,117,93,117,93
H0,heterogeneous_condition,103,25,210,0,0,0,0.0,0.009227,0.006114,0.015342,0.007671,24.904033,0.415067,8.75,0.182268,0.22381,45,47,45,25,25,23,45,47,46,25,25,23,92,70,48,92,71,48,115,95,116,95
H0,heterogeneous_condition,103,26,210,0,0,0,0.0,0.010645,0.007985,0.01863,0.009315,24.795597,0.41326,8.75,0.18322,0.22381,46,45,47,24,25,23,46,47,47,24,25,23,91,71,48,93,71,48,118,92,118,94
H0,heterogeneous_condition,103,27,210,0,0,0,0.0,0.012201,0.0053,0.017501,0.008751,25.018174,0.41697,8.75,0.183311,0.22381,46,47,45,26,23,23,47,47,45,26,23,23,93,71,46,94,71,46,114,96,115,96
H0,heterogeneous_condition,103,28,210,0,0,0,0.0,0.00907,0.006942,0.016011,0.008006,24.817414,0.413624,8.75,0.182358,0.22381,44,47,46,24,26,23,45,47,46,24,26,23,91,70,49,92,70,49,116,94,117,94
H0,heterogeneous_condition,103,29,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.927046,0.415451,8.75,0.183311,0.22381,47,45,46,26,23,23,47,45,47,26,23,23,92,72,46,92,73,46,116,94,117,94
H0,heterogeneous_condition,103,30,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.998439,0.416641,8.75,0.183401,0.22381,47,47,44,25,25,22,47,47,44,25,25,22,94,69,47,94,69,47,116,94,116,94
H0,heterogeneous_condition,103,31,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,103,32,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86092,0.414349,8.75,0.183401,0.22381,47,44,47,26,23,23,47,45,47,26,23,23,91,73,46,92,73,46,117,93,117,94
H0,heterogeneous_condition,103,33,210,0,0,0,0.0,0.010645,0.007008,0.017653,0.008827,24.93596,0.415599,8.75,0.183311,0.219048,46,46,46,26,24,22,47,46,46,26,24,22,92,72,46,93,72,46,116,94,117,94
H0,heterogeneous_condition,103,34,210,0,0,0,0.0,0.009227,0.007985,0.017212,0.008606,24.822026,0.4137,8.75,0.184399,0.22381,45,47,47,22,26,23,45,47,47,22,26,23,92,69,49,92,69,49,118,92,118,92
H0,heterogeneous_condition,103,35,210,0,0,0,0.0,0.010645,0.007985,0.01863,0.009315,24.814206,0.41357,8.75,0.182222,0.219048,46,45,46,25,25,23,47,46,46,25,25,23,91,71,48,93,71,48,117,93,118,94
H0,heterogeneous_condition,103,36,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.998439,0.416641,8.75,0.183401,0.22381,47,47,44,25,25,22,47,47,44,25,25,22,94,69,47,94,69,47,116,94,116,94
H0,heterogeneous_condition,103,37,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,103,38,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,103,39,210,0,0,0,0.0,0.010645,0.006114,0.016759,0.00838,24.898407,0.414973,8.75,0.181361,0.219048,46,46,44,26,25,23,47,46,44,26,25,23,92,70,48,93,70,48,115,95,116,95
H0,heterogeneous_condition,103,40,210,0,0,0,0.0,0.009227,0.006114,0.015342,0.007671,24.933225,0.415554,8.75,0.182404,0.22381,45,47,45,26,25,22,45,47,46,26,25,22,92,71,47,92,72,47,115,95,116,95
H0,heterogeneous_condition,103,41,210,0,0,0,0.0,0.007941,0.007985,0.015926,0.007963,24.76799,0.4128,8.75,0.182494,0.22381,47,43,47,26,24,23,47,44,47,26,24,23,90,73,47,91,73,47,118,92,118,93
H0,heterogeneous_condition,103,42,210,0,0,0,0.0,0.012201,0.007008,0.019209,0.009605,25.009278,0.416821,8.75,0.184444,0.22381,47,47,45,25,25,21,47,47,45,25,25,21,94,70,46,94,70,46,117,93,117,93
H0,heterogeneous_condition,103,43,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.819552,0.413659,8.75,0.18322,0.22381,45,46,47,24,25,23,45,47,47,24,25,23,91,71,48,92,71,48,117,93,117,94
H0,heterogeneous_condition,103,44,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.885559,0.414759,8.75,0.183311,0.22381,46,45,47,26,23,23,47,45,47,26,23,23,91,73,46,92,73,46,116,94,117,94
H0,heterogeneous_condition,103,45,210,0,0,0,0.0,0.012201,0.0053,0.017501,0.008751,25.016816,0.416947,8.75,0.182585,0.22381,47,47,43,26,25,22,47,47,43,26,25,22,94,69,47,94,69,47,115,95,115,95
H0,heterogeneous_condition,103,46,210,0,0,0,0.0,0.010102,0.007985,0.018087,0.009043,24.842959,0.414049,8.75,0.184218,0.22381,46,46,47,23,25,23,46,47,47,23,25,23,92,70,48,93,70,48,118,92,118,93
H0,heterogeneous_condition,103,47,210,0,0,0,0.0,0.010645,0.006114,0.016759,0.00838,24.953911,0.415899,8.75,0.184399,0.22381,47,45,47,26,22,23,47,46,47,26,22,23,92,73,45,93,73,45,116,94,116,95
H0,heterogeneous_condition,103,48,210,0,0,0,0.0,0.009227,0.007985,0.017212,0.008606,24.842993,0.41405,8.75,0.182358,0.219048,46,45,46,26,25,22,47,45,46,26,25,22,91,72,47,92,72,47,117,93,118,93
H0,heterogeneous_condition,103,49,210,0,0,0,0.0,0.009227,0.006114,0.015342,0.007671,24.837906,0.413965,8.75,0.182222,0.219048,45,46,46,25,25,23,45,47,46,25,25,23,91,71,48,92,71,48,116,94,116,95
H0,heterogeneous_condition,103,50,210,0,0,0,0.0,0.007012,0.007319,0.014331,0.007165,24.792174,0.413203,8.75,0.182358,0.22381,46,44,47,26,24,23,47,44,47,26,24,23,90,73,47,91,73,47,117,93,118,93
H0,heterogeneous_condition,103,51,210,0,0,0,0.0,0.010645,0.007008,0.017653,0.008827,24.977447,0.416291,8.75,0.183356,0.22381,47,46,45,26,24,22,47,46,46,26,24,22,93,71,46,93,72,46,116,94,117,94
