policy_id,composite_score,total_cost_rank,total_cost,demand_fulfillment_rate_rank,demand_fulfillment_rate,unmet_demand_rank,unmet_demand,total_downtime_rank,total_downtime,queue_time_rank,queue_time,average_available_trucks_rank,average_available_trucks,pm_cost_rank,pm_cost
H_TIME,0.883333,1,1020.281733,1,0.981602,1,121.333333,3,868.0,6,2.546726,1,3.5,3,325.5
H3,0.7,2,1724.748667,2,0.970774,2,192.666667,6,1431.333333,7,2.726007,1,3.5,6,605.833333
H0,0.65,3,1858.648,3,0.94726,3,347.666667,5,1250.0,4,2.276808,1,3.5,5,520.833333
H_PERIODIC,0.5,5,4283.058,4,0.870132,4,856.0,7,2920.0,1,1.786884,1,3.5,7,1095.0
H2,0.466667,4,3339.374,5,0.814993,5,1219.333333,4,966.0,5,2.324171,1,3.5,4,402.666667
H1,0.4,6,7062.531333,6,0.498415,6,3306.0,1,481.333333,2,2.215,1,3.5,1,200.666667
H4,0.4,6,7062.531333,6,0.498415,6,3306.0,1,481.333333,2,2.215,1,3.5,1,200.666667
