policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,stage,soft_utilization_threshold,risk_guard_level
H4,heterogeneous_condition,101,30,6300,6300,0,1.0,1751400.0,1376.555523,1376555.523,532.5,0.0,794.4,49.655523,0.0,192,195,87,59,49,0,0,0,0,0,662,0.755065,0.781719,0.79971,0.783586,0.937723,2.4518,0.773833,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.327083,2,0,0.648189,1.585122,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1376.555523,1466.557323,1466557.323,1.0,2.0,base,0.5,0.0,0.0,1466.557323,0.0,0.0,0.0,0.0,0.0,1466.557323,1466557.323,0.85,0.1,2.0,0.11684,0.05842,1466.615743,1466615.743,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.9,relaxed
H4,heterogeneous_condition,102,30,6300,6300,0,1.0,1751400.0,1371.589542,1371589.542,543.5,0.0,777.6,50.489542,0.0,196,201,107,63,31,0,0,0,0,0,648,0.738299,0.78607,0.79685,0.773506,0.873249,2.345799,0.774778,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.315278,2,0,0.648189,1.582109,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1371.589542,1461.591342,1461591.342,1.0,2.0,base,0.5,0.0,0.0,1461.591342,0.0,0.0,0.0,0.0,0.0,1461.591342,1461591.342,0.85,0.1,2.0,0.11684,0.05842,1461.649762,1461649.762,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.9,relaxed
H4,heterogeneous_condition,103,30,6300,6300,0,1.0,1751400.0,1810.421886,1810421.886,708.0,0.0,1040.4,62.021886,0.0,246,252,111,89,52,0,0,0,0,0,867,0.757865,0.792491,0.775763,0.784113,0.992559,2.718937,0.765389,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.432639,2,0,0.648189,1.663974,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1810.421886,1900.423686,1900423.686,1.0,2.0,base,0.5,0.0,0.0,1900.423686,0.0,0.0,0.0,0.0,0.0,1900.423686,1900423.686,0.85,0.1,2.0,0.11684,0.05842,1900.482106,1900482.106,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.9,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,101,30,6300,6300,0,1.0,1763125.0,1385.722185,1385722.185,536.5,0.0,799.2,50.022185,0.0,191,196,87,60,49,0,0,0,0,0,666,0.754638,0.775997,0.804526,0.773488,0.937723,2.4518,0.773556,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0.330556,2,0,0.0,0.0,0.0,0.0,base,1764000.0,875.0,6.250125,0.999504,0.799603,1385.722185,1391.97231,1391972.31,1.0,2.0,base,0.5,0.0447,0.02235,1391.99466,0.0447,0.0,0.000556,0.044144,0.02235,1391.99466,1391994.66,0.85,0.1,2.0,1.828946,0.914473,1392.886783,1392886.783,23.421916,23.42149,0.390365,0.390358,8.75,0.166764,0.171429,0.672414,1.093333,1.231579,0,0,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0,0,0,0,0,0,S1,0.9,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,102,30,6300,6300,0,1.0,1762775.0,1382.386829,1382386.829,545.5,0.0,786.0,50.886829,0.0,200,202,108,63,31,0,0,0,0,0,655,0.738838,0.786001,0.792423,0.764647,0.873249,2.345799,0.774722,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0.315972,2,0,0.0,0.0,0.0,0.0,base,1764000.0,1225.0,8.750175,0.999306,0.799444,1382.386829,1391.137004,1391137.004,1.0,2.0,base,0.5,0.036448,0.018224,1391.155228,0.036448,0.0,0.000263,0.036185,0.018224,1391.155228,1391155.228,0.85,0.1,2.0,1.636069,0.818034,1391.955038,1391955.038,23.447,23.446653,0.390783,0.390778,8.75,0.166681,0.168889,0.672414,1.069444,1.231579,0,0,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0,0,0,0,0,0,S1,0.9,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,103,30,6300,6300,0,1.0,1764280.0,1838.922579,1838922.579,718.0,0.0,1058.4,62.522579,0.0,249,255,112,91,52,0,0,0,0,0,882,0.750287,0.793919,0.791058,0.772818,0.992559,2.718937,0.764778,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0.440278,2,0,0.0,0.0,0.0,0.0,base,1764000.0,0.0,0.0,1.000159,0.800127,1838.922579,1838.922579,1838922.579,1.0,2.0,base,0.5,0.037963,0.018981,1838.94156,0.037963,0.0,0.000401,0.037562,0.018981,1838.94156,1838941.56,0.85,0.1,2.0,1.72834,0.86417,1839.786749,1839786.749,23.481939,23.481577,0.391366,0.39136,8.75,0.166672,0.168254,0.672414,1.069444,1.231579,0,0,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0,0,0,0,0,0,S1,0.9,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,101,30,6300,6300,0,1.0,1748320.0,1112.611817,1112611.817,434.0,0.0,628.8,49.811817,0.0,161,162,83,47,32,0,0,0,0,0,524,0.555522,0.6493,0.632473,0.629831,0.937723,2.4518,0.779722,979,898,821,1277,929,1396,1877,2098,2325,2729,3571,0.253472,2,0,0.0,0.0,0.0,0.0,base,1764000.0,15680.0,112.00224,0.991111,0.792889,1112.611817,1224.614057,1224614.057,1.0,2.0,base,0.5,3e-06,1e-06,1224.614058,3e-06,0.0,3e-06,0.0,1e-06,1224.614058,1224614.058,0.85,0.1,2.0,0.204091,0.102045,1224.716102,1224716.102,23.176477,23.176477,0.386275,0.386275,8.75,0.17338,0.221587,0.626667,1.013333,0.989474,0,0,979,898,821,1277,929,1396,1877,2098,2325,2729,3571,28395,2291,0,12092,6897,14012,S1,0.9,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,102,30,6300,6300,0,1.0,1746710.0,1104.242791,1104242.791,434.0,0.0,620.4,49.842791,0.0,160,161,87,50,24,0,0,0,0,0,517,0.553522,0.611489,0.612597,0.668444,0.873249,2.345799,0.780056,953,888,836,1288,927,1408,1841,2124,2335,2716,3584,0.249306,2,0,0.0,0.0,0.0,0.0,base,1764000.0,17290.0,123.50247,0.990198,0.792159,1104.242791,1227.745261,1227745.261,1.0,2.0,base,0.5,1.2e-05,6e-06,1227.745267,1.2e-05,0.0,1.2e-05,0.0,6e-06,1227.745267,1227745.267,0.85,0.1,2.0,0.225622,0.112811,1227.858072,1227858.072,23.122851,23.122851,0.385381,0.385381,8.75,0.173756,0.223492,0.672414,1.013333,0.989474,0,0,953,888,836,1288,927,1408,1841,2124,2335,2716,3584,28188,2256,0,11870,6855,14022,S1,0.9,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,103,30,6300,6300,0,1.0,1746395.0,1406.415747,1406415.747,545.5,0.0,802.8,58.115747,0.0,194,197,89,65,43,0,0,0,0,0,669,0.552742,0.585939,0.619097,0.658871,0.992559,2.718937,0.7735,953,896,831,1268,935,1417,1849,2099,2352,2719,3581,0.33125,2,0,0.0,0.0,0.0,0.0,base,1764000.0,17605.0,125.752515,0.99002,0.792016,1406.415747,1532.168262,1532168.262,1.0,2.0,base,0.5,9e-06,4e-06,1532.168267,9e-06,0.0,9e-06,0.0,4e-06,1532.168267,1532168.267,0.85,0.1,2.0,0.211249,0.105625,1532.273887,1532273.887,23.11778,23.11778,0.385296,0.385296,8.75,0.173634,0.224921,0.626667,1.013333,0.978947,0,0,953,896,831,1268,935,1417,1849,2099,2352,2719,3581,27773,2272,0,11606,6834,13895,S1,0.9,relaxed
