policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,stage,soft_utilization_threshold,risk_guard_level
H4,heterogeneous_condition,101,30,6300,6300,0,1.0,1751400.0,1376.555523,1376555.523,532.5,0.0,794.4,49.655523,0.0,192,195,87,59,49,0,0,0,0,0,662,0.755065,0.781719,0.79971,0.783586,0.937723,2.4518,0.773833,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.327083,2,0,0.648189,1.585122,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1376.555523,1466.557323,1466557.323,1.0,2.0,base,0.5,0.0,0.0,1466.557323,0.0,0.0,0.0,0.0,0.0,1466.557323,1466557.323,0.85,0.1,2.0,0.11684,0.05842,1466.615743,1466615.743,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.85,relaxed
H4,heterogeneous_condition,102,30,6300,6300,0,1.0,1751400.0,1371.589542,1371589.542,543.5,0.0,777.6,50.489542,0.0,196,201,107,63,31,0,0,0,0,0,648,0.738299,0.78607,0.79685,0.773506,0.873249,2.345799,0.774778,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.315278,2,0,0.648189,1.582109,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1371.589542,1461.591342,1461591.342,1.0,2.0,base,0.5,0.0,0.0,1461.591342,0.0,0.0,0.0,0.0,0.0,1461.591342,1461591.342,0.85,0.1,2.0,0.11684,0.05842,1461.649762,1461649.762,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.85,relaxed
H4,heterogeneous_condition,103,30,6300,6300,0,1.0,1751400.0,1810.421886,1810421.886,708.0,0.0,1040.4,62.021886,0.0,246,252,111,89,52,0,0,0,0,0,867,0.757865,0.792491,0.775763,0.784113,0.992559,2.718937,0.765389,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0.432639,2,0,0.648189,1.663974,52.314286,0.243593,base,1764000.0,12600.0,90.0018,0.992857,0.794286,1810.421886,1900.423686,1900423.686,1.0,2.0,base,0.5,0.0,0.0,1900.423686,0.0,0.0,0.0,0.0,0.0,1900.423686,1900423.686,0.85,0.1,2.0,0.11684,0.05842,1900.482106,1900482.106,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,810,1080,810,1350,900,1350,1890,2160,2250,2520,3780,0,0,0,0,0,0,S1,0.85,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,101,30,6300,6300,0,1.0,1763125.0,1385.722185,1385722.185,536.5,0.0,799.2,50.022185,0.0,191,196,87,60,49,0,0,0,0,0,666,0.754638,0.775997,0.804526,0.773488,0.937723,2.4518,0.773556,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0.330556,2,0,0.0,0.0,0.0,0.0,base,1764000.0,875.0,6.250125,0.999504,0.799603,1385.722185,1391.97231,1391972.31,1.0,2.0,base,0.5,0.0447,0.02235,1391.99466,0.0447,0.0,0.000556,0.044144,0.02235,1391.99466,1391994.66,0.85,0.1,2.0,1.828946,0.914473,1392.886783,1392886.783,23.421916,23.42149,0.390365,0.390358,8.75,0.166764,0.171429,0.672414,1.093333,1.231579,0,0,1037,1025,1071,1080,1072,1015,2062,2151,2087,3180,3120,0,0,0,0,0,0,S1,0.85,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,102,30,6300,6300,0,1.0,1762775.0,1382.386829,1382386.829,545.5,0.0,786.0,50.886829,0.0,200,202,108,63,31,0,0,0,0,0,655,0.738838,0.786001,0.792423,0.764647,0.873249,2.345799,0.774722,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0.315972,2,0,0.0,0.0,0.0,0.0,base,1764000.0,1225.0,8.750175,0.999306,0.799444,1382.386829,1391.137004,1391137.004,1.0,2.0,base,0.5,0.036448,0.018224,1391.155228,0.036448,0.0,0.000263,0.036185,0.018224,1391.155228,1391155.228,0.85,0.1,2.0,1.636069,0.818034,1391.955038,1391955.038,23.447,23.446653,0.390783,0.390778,8.75,0.166681,0.168889,0.672414,1.069444,1.231579,0,0,1047,1044,1037,1046,1064,1062,2091,2083,2126,3148,3152,0,0,0,0,0,0,S1,0.85,relaxed
BALANCED_RR_H4_PM,heterogeneous_condition,103,30,6300,6300,0,1.0,1764280.0,1838.922579,1838922.579,718.0,0.0,1058.4,62.522579,0.0,249,255,112,91,52,0,0,0,0,0,882,0.750287,0.793919,0.791058,0.772818,0.992559,2.718937,0.764778,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0.440278,2,0,0.0,0.0,0.0,0.0,base,1764000.0,0.0,0.0,1.000159,0.800127,1838.922579,1838.922579,1838922.579,1.0,2.0,base,0.5,0.037963,0.018981,1838.94156,0.037963,0.0,0.000401,0.037562,0.018981,1838.94156,1838941.56,0.85,0.1,2.0,1.72834,0.86417,1839.786749,1839786.749,23.481939,23.481577,0.391366,0.39136,8.75,0.166672,0.168254,0.672414,1.069444,1.231579,0,0,1054,1047,1060,1046,1051,1042,2101,2106,2093,3165,3135,0,0,0,0,0,0,S1,0.85,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,101,30,6300,6300,0,1.0,1755215.0,1131.293491,1131293.491,440.5,0.0,640.8,49.993491,0.0,161,163,81,49,33,0,0,0,0,0,534,0.556886,0.61627,0.654396,0.638681,0.937723,2.4518,0.779167,949,1075,779,1222,877,1398,2024,2001,2275,2605,3695,0.260417,2,0,0.0,0.0,0.0,0.0,base,1764000.0,8785.0,62.751255,0.99502,0.796016,1131.293491,1194.044746,1194044.746,1.0,2.0,base,0.5,0.0,0.0,1194.044746,0.0,0.0,0.0,0.0,0.0,1194.044746,1194044.746,0.85,0.1,2.0,0.109829,0.054915,1194.09966,1194099.66,23.536621,23.536621,0.392277,0.392277,8.75,0.17334,0.221905,0.613333,0.986111,0.957895,0,0,949,1075,779,1222,877,1398,2024,2001,2275,2605,3695,31523,2848,0,15882,10023,13999,S1,0.85,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,102,30,6300,6300,0,1.0,1754725.0,1127.235644,1127235.644,445.5,0.0,631.2,50.535644,0.0,165,166,92,51,23,0,0,0,0,0,526,0.568271,0.659971,0.605404,0.651776,0.873249,2.345799,0.779833,935,1079,772,1235,879,1400,2014,2007,2279,2586,3714,0.252083,2,0,0.0,0.0,0.0,0.0,base,1764000.0,9275.0,66.251325,0.994742,0.795794,1127.235644,1193.486969,1193486.969,1.0,2.0,base,0.5,0.0,0.0,1193.486969,0.0,0.0,0.0,0.0,0.0,1193.486969,1193486.969,0.85,0.1,2.0,0.10333,0.051665,1193.538634,1193538.634,23.531654,23.531654,0.392194,0.392194,8.75,0.173654,0.222222,0.637931,0.986111,0.947368,0,0,935,1079,772,1235,879,1400,2014,2007,2279,2586,3714,31526,2861,0,15848,10068,14017,S1,0.85,relaxed
H4_BALANCED_RR_GUARD,heterogeneous_condition,103,30,6300,6300,0,1.0,1754900.0,1411.176676,1411176.676,547.0,0.0,805.2,58.976676,0.0,194,198,91,65,42,0,0,0,0,0,671,0.531978,0.581058,0.600114,0.640188,0.992559,2.718937,0.773389,934,1078,779,1237,881,1391,2012,2016,2272,2594,3706,0.332639,2,0,0.0,0.0,0.0,0.0,base,1764000.0,9100.0,65.0013,0.994841,0.795873,1411.176676,1476.177976,1476177.976,1.0,2.0,base,0.5,0.0,0.0,1476.177976,0.0,0.0,0.0,0.0,0.0,1476.177976,1476177.976,0.85,0.1,2.0,0.104258,0.052129,1476.230105,1476230.105,23.530702,23.530702,0.392178,0.392178,8.75,0.173406,0.220794,0.613333,0.972222,0.947368,0,0,934,1078,779,1237,881,1391,2012,2016,2272,2594,3706,31194,2841,0,15596,10068,13893,S1,0.85,relaxed
