policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,stage,soft_utilization_threshold,risk_guard_level
BALANCED_RR_H4_PM,heterogeneous_condition,101,90,18900,18900,0,1.0,5291930.0,4845.708224,4845708.224,1876.5,0.0,2818.8,150.408224,0.0,674,685,296,208,181,0,0,0,0,0,2349,0.740681,0.766179,0.77785,0.779169,0.937723,2.4518,0.768944,3136,3135,3160,3196,3167,3106,6271,6356,6273,9463,9437,0.388194,2,0,0.0,0.0,0.0,0.0,base,5292000.0,70.0,0.50001,0.999987,0.799989,4845.708224,4846.208234,4846208.234,1.0,2.0,base,0.5,0.100457,0.050229,4846.258463,0.100457,0.0,0.003205,0.097252,0.050229,4846.258463,4846258.463,0.85,0.1,2.0,4.981947,2.490974,4848.699208,4848699.208,23.475691,23.475372,0.391262,0.391256,8.75,0.16668,0.169101,0.706897,1.111111,1.231579,0,0,3136,3135,3160,3196,3167,3106,6271,6356,6273,9463,9437,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,102,90,18900,18900,0,1.0,5292560.0,4836.91614,4836916.14,1907.5,0.0,2776.8,152.61614,0.0,691,703,357,219,127,0,0,0,0,0,2314,0.733283,0.78648,0.755918,0.775967,0.873249,2.345799,0.769926,3149,3166,3144,3142,3146,3153,6315,6286,6299,9439,9461,0.375926,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000106,0.800085,4836.91614,4836.91614,4836916.14,1.0,2.0,base,0.5,0.09458,0.04729,4836.96343,0.09458,0.0,0.002545,0.092035,0.04729,4836.96343,4836963.43,0.85,0.1,2.0,4.866071,2.433036,4839.349176,4839349.176,23.493983,23.493683,0.391566,0.391561,8.75,0.166668,0.167513,0.724138,1.111111,1.231579,0,0,3149,3166,3144,3142,3146,3153,6315,6286,6299,9439,9461,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,103,90,18900,18900,0,1.0,5293890.0,6247.30843,6247308.43,2436.5,0.0,3622.8,188.00843,0.0,834,862,364,309,189,0,0,0,0,0,3019,0.737565,0.779217,0.767637,0.796574,0.992559,2.718937,0.759519,3208,3155,3114,3114,3168,3141,6363,6228,6309,9490,9410,0.506019,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000357,0.800286,6247.30843,6247.30843,6247308.43,1.0,2.0,base,0.5,0.100334,0.050167,6247.358597,0.100334,0.0,0.002203,0.098131,0.050167,6247.358597,6247358.597,0.85,0.1,2.0,5.075554,2.537777,6249.846207,6249846.207,23.502208,23.501889,0.391703,0.391698,8.75,0.166685,0.169735,0.706897,1.111111,1.231579,0,0,3208,3155,3114,3114,3168,3141,6363,6228,6309,9490,9410,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,104,90,18900,18900,0,1.0,5294975.0,5314.845783,5314845.783,2065.5,0.0,3082.8,166.545783,0.0,762,777,366,204,207,0,0,0,0,0,2569,0.737657,0.767473,0.795782,0.79501,0.94391,2.700947,0.7665,3190,3169,3146,3121,3147,3127,6359,6267,6274,9483,9417,0.41875,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000562,0.80045,5314.845783,5314.845783,5314845.783,1.0,2.0,base,0.5,0.098332,0.049166,5314.894949,0.098332,0.0,0.002602,0.09573,0.049166,5314.894949,5314894.949,0.85,0.1,2.0,5.05135,2.525675,5317.371458,5317371.458,23.513518,23.513205,0.391892,0.391887,8.75,0.166676,0.168783,0.689655,1.125,1.231579,0,0,3190,3169,3146,3121,3147,3127,6359,6267,6274,9483,9417,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,105,90,18900,18900,0,1.0,5293260.0,5618.625407,5618625.407,2181.5,0.0,3265.2,171.925407,0.0,769,788,342,255,191,0,0,0,0,0,2721,0.734229,0.778046,0.765777,0.779565,1.020715,2.576161,0.763852,3174,3137,3158,3156,3132,3143,6311,6314,6275,9464,9436,0.451852,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000238,0.80019,5618.625407,5618.625407,5618625.407,1.0,2.0,base,0.5,0.093014,0.046507,5618.671914,0.093014,0.0,0.002418,0.090596,0.046507,5618.671914,5618671.914,0.85,0.1,2.0,4.927081,2.46354,5621.088947,5621088.947,23.492421,23.492126,0.39154,0.391535,8.75,0.16667,0.167937,0.689655,1.097222,1.231579,0,0,3174,3137,3158,3156,3132,3143,6311,6314,6275,9464,9436,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,106,90,18900,18900,0,1.0,5291580.0,5150.361523,5150361.523,1995.0,0.0,3001.2,154.161523,0.0,677,691,263,266,162,0,0,0,0,0,2501,0.743426,0.803773,0.770008,0.785076,0.982959,2.36643,0.766204,3196,3110,3159,3117,3176,3142,6306,6276,6318,9531,9369,0.422454,2,0,0.0,0.0,0.0,0.0,base,5292000.0,420.0,3.00006,0.999921,0.799937,5150.361523,5153.361583,5153361.583,1.0,2.0,base,0.5,0.10942,0.05471,5153.416292,0.10942,0.0,0.001538,0.107882,0.05471,5153.416292,5153416.292,0.85,0.1,2.0,5.248643,2.624321,5155.985904,5155985.904,23.46177,23.461423,0.391029,0.391024,8.75,0.166682,0.169101,0.724138,1.083333,1.231579,0,0,3196,3110,3159,3117,3176,3142,6306,6276,6318,9531,9369,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,107,90,18900,18900,0,1.0,5290775.0,5386.466756,5386466.756,2097.0,0.0,3120.0,169.466756,0.0,765,789,381,210,198,0,0,0,0,0,2600,0.738944,0.754206,0.77203,0.788004,0.96149,2.78374,0.766,3162,3146,3109,3140,3165,3178,6308,6249,6343,9436,9464,0.425,2,0,0.0,0.0,0.0,0.0,base,5292000.0,1225.0,8.750175,0.999769,0.799815,5386.466756,5395.216931,5395216.931,1.0,2.0,base,0.5,0.087387,0.043694,5395.260625,0.087387,0.0,0.001295,0.086092,0.043694,5395.260625,5395260.625,0.85,0.1,2.0,4.675869,2.337934,5397.554865,5397554.865,23.476265,23.475988,0.391271,0.391266,8.75,0.166675,0.168148,0.672414,1.069444,1.231579,0,0,3162,3146,3109,3140,3165,3178,6308,6249,6343,9436,9464,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,108,90,18900,18900,0,1.0,5292280.0,6692.058823,6692058.823,2577.5,0.0,3913.2,201.358823,0.0,880,925,364,298,263,0,0,0,0,0,3261,0.729536,0.771242,0.745846,0.802248,1.128587,3.150683,0.755889,3199,3117,3175,3101,3149,3159,6316,6276,6308,9523,9377,0.551389,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000053,0.800042,6692.058823,6692.058823,6692058.823,1.0,2.0,base,0.5,0.109156,0.054578,6692.113401,0.109156,0.0,0.001442,0.107714,0.054578,6692.113401,6692113.401,0.85,0.1,2.0,5.227031,2.613516,6694.672339,6694672.339,23.471002,23.470656,0.391183,0.391178,8.75,0.166685,0.169259,0.724138,1.097222,1.231579,0,0,3199,3117,3175,3101,3149,3159,6316,6276,6308,9523,9377,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,109,90,18900,18900,0,1.0,5296340.0,4843.968159,4843968.159,1889.5,0.0,2800.8,153.668159,0.0,704,717,355,183,179,0,0,0,0,0,2334,0.755706,0.794369,0.776821,0.800055,0.909119,2.084195,0.769796,3250,3149,3145,3081,3136,3139,6399,6226,6275,9531,9369,0.377546,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.00082,0.800656,4843.968159,4843.968159,4843968.159,1.0,2.0,base,0.5,0.116265,0.058132,4844.026291,0.116265,0.0,0.003118,0.113147,0.058132,4844.026291,4844026.291,0.85,0.1,2.0,5.419241,2.70962,4846.677779,4846677.779,23.520121,23.519752,0.392002,0.391996,8.75,0.166709,0.171958,0.706897,1.125,1.231579,0,0,3250,3149,3145,3081,3136,3139,6399,6226,6275,9531,9369,0,0,0,0,0,0,S2,0.85,base
BALANCED_RR_H4_PM,heterogeneous_condition,110,90,18900,18900,0,1.0,5292735.0,6735.567807,6735567.807,2634.0,0.0,3898.8,202.767807,0.0,909,935,412,335,188,0,0,0,0,0,3249,0.733911,0.776139,0.773533,0.769319,1.167516,3.047173,0.756648,3169,3173,3119,3118,3172,3149,6342,6237,6321,9460,9440,0.541898,2,0,0.0,0.0,0.0,0.0,base,5292000.0,0.0,0.0,1.000139,0.800111,6735.567807,6735.567807,6735567.807,1.0,2.0,base,0.5,0.092512,0.046256,6735.614063,0.092512,0.0,0.002648,0.089863,0.046256,6735.614063,6735614.063,0.85,0.1,2.0,4.881296,2.440648,6738.008455,6738008.455,23.49613,23.495836,0.391602,0.391597,8.75,0.166676,0.167884,0.706897,1.111111,1.231579,0,0,3169,3173,3119,3118,3172,3149,6342,6237,6321,9460,9440,0,0,0,0,0,0,S2,0.85,base
